Bank,Applicant_Type,Age,Monthly_Income,Credit_Score,Loan_Amount,Employment_Stability,Property_Value,Approval_Status
Axis,Self-Employed,57,41406,743,18305060,Stable,24423766,Approved
Axis,Professional,55,97589,695,5506740,Unstable,7030055,Rejected
Axis,Self-Employed,44,34552,819,35797405,Stable,46668541,Rejected
Axis,Self-Employed,56,60411,885,18361962,Unstable,25722584,Approved
Axis,Professional,60,62638,853,17362899,Unstable,25291603,Approved
Axis,Self-Employed,58,61457,822,15848198,Stable,28368646,Approved
Axis,Salaried,52,37278,738,19772415,Unstable,25364779,Approved
Axis,Professional,58,69249,806,15868368,Unstable,24672417,Approved
Axis,Professional,54,89421,595,5293614,Stable,8195284,Rejected
Axis,Professional,21,50232,675,6313811,Stable,31594186,Rejected
Axis,Salaried,38,37579,842,37901136,Unstable,49999606,Rejected
Axis,Salaried,46,50485,688,786932,Stable,43317404,Approved
Axis,Salaried,39,34830,717,37951601,Stable,49831274,Rejected
Axis,Self-Employed,41,37972,721,34422854,Unstable,49838465,Rejected
Axis,Self-Employed,52,92534,684,5287148,Unstable,8085627,Rejected
Axis,Self-Employed,48,43326,727,674525,Stable,39148004,Approved
Axis,Self-Employed,59,65726,834,16852982,Unstable,25694938,Approved
Axis,Professional,47,89195,695,4865979,Stable,7376825,Rejected
Axis,Self-Employed,46,44447,665,690536,Unstable,44232169,Approved
Axis,Self-Employed,51,49585,713,715116,Stable,41744396,Approved
Axis,Professional,46,82674,635,5670893,Unstable,8107768,Rejected
Axis,Professional,46,85604,715,5621841,Stable,8225264,Rejected
Axis,Salaried,52,38575,693,17196767,Stable,28044448,Approved
Axis,Salaried,40,34423,744,39250476,Stable,41081990,Rejected
Axis,Self-Employed,60,59310,805,17665343,Unstable,28542141,Approved
Axis,Self-Employed,52,42885,768,19353129,Stable,26000016,Approved
Axis,Salaried,54,95548,692,5242939,Stable,7127666,Rejected
Axis,Professional,56,61916,806,16141831,Stable,25961541,Approved
Axis,Self-Employed,48,47948,729,662697,Unstable,40388555,Approved
Axis,Salaried,58,43435,737,19435233,Stable,24152428,Approved
Axis,Salaried,53,36298,750,20172521,Unstable,26155553,Approved
Axis,Self-Employed,58,36589,686,20522238,Unstable,24919381,Approved
Axis,Self-Employed,62,39459,723,17028980,Stable,25587333,Approved
Axis,Professional,54,67047,803,15320700,Unstable,28768847,Approved
Axis,Professional,42,36293,856,41619634,Unstable,44995773,Rejected
Axis,Professional,53,60459,813,17941208,Stable,26613311,Approved
Axis,Self-Employed,46,50184,715,738644,Stable,45600211,Approved
Axis,Professional,53,66711,820,18084803,Stable,26658499,Approved
Axis,Self-Employed,51,69544,817,15692556,Unstable,29244289,Approved
Axis,Professional,51,47872,652,656731,Stable,42792195,Approved
Axis,Self-Employed,52,66003,862,15583878,Unstable,27973936,Approved
Axis,Self-Employed,62,37923,777,20514333,Unstable,27322730,Approved
Axis,Salaried,38,34740,779,37969106,Unstable,42204965,Rejected
Axis,Professional,50,60284,784,16487119,Stable,25734788,Approved
Axis,Salaried,46,44757,721,683937,Unstable,45984619,Approved
Axis,Self-Employed,52,37247,766,19592232,Stable,25769910,Approved
Axis,Self-Employed,22,53644,629,6760220,Stable,35057111,Rejected
Axis,Salaried,49,91821,662,5558188,Unstable,7079614,Rejected
Axis,Professional,21,56752,646,7113450,Unstable,32345717,Rejected
Axis,Professional,54,63313,920,18164194,Unstable,26147571,Approved
Axis,Self-Employed,52,63265,794,16596594,Unstable,26809384,Approved
Axis,Salaried,37,34489,801,39007186,Unstable,45569905,Rejected
Axis,Self-Employed,55,61166,826,15997473,Stable,24956365,Approved
Axis,Self-Employed,43,44693,731,675883,Unstable,41254664,Approved
Axis,Self-Employed,45,80851,630,5149851,Stable,7180401,Rejected
Axis,Professional,40,39362,772,34570924,Unstable,45854308,Rejected
Axis,Professional,52,95350,596,5656993,Stable,7182943,Rejected
Axis,Salaried,42,37004,725,35657241,Stable,43748464,Rejected
Axis,Professional,45,44301,713,793669,Unstable,46956507,Approved
Axis,Professional,51,61159,928,16814238,Stable,24400249,Approved
Axis,Self-Employed,60,38073,709,18649623,Unstable,25930930,Approved
Axis,Professional,60,63765,927,17641405,Unstable,25033819,Approved
Axis,Salaried,52,68139,877,18609507,Unstable,28311351,Approved
Axis,Salaried,58,37565,728,18324573,Stable,28460865,Approved
Axis,Professional,51,60460,845,17746541,Unstable,25385845,Approved
Axis,Self-Employed,22,49990,663,7053725,Stable,35736721,Rejected
Axis,Self-Employed,58,58114,914,16722903,Stable,25019938,Approved
Axis,Salaried,39,35273,856,40667080,Stable,49243796,Rejected
Axis,Professional,54,36274,675,18963513,Unstable,28097926,Approved
Axis,Salaried,55,60278,914,18368083,Unstable,27177453,Approved
Axis,Professional,46,84870,635,4910907,Stable,7802367,Rejected
Axis,Salaried,55,94140,705,4847858,Unstable,8005453,Rejected
Axis,Salaried,50,50023,649,680277,Stable,45531330,Approved
Axis,Self-Employed,59,63019,838,18503296,Stable,26336143,Approved
Axis,Self-Employed,54,81065,707,5350187,Stable,7400021,Rejected
Axis,Professional,60,40335,727,18212098,Unstable,27373795,Approved
Axis,Salaried,60,37264,751,17539892,Unstable,28175561,Approved
Axis,Self-Employed,60,63129,764,17681415,Stable,24665116,Approved
Axis,Salaried,54,86308,656,5803926,Unstable,7983099,Rejected
Axis,Salaried,49,43455,685,750759,Unstable,42045310,Approved
Axis,Self-Employed,61,42148,778,20154737,Unstable,27308432,Approved
Axis,Salaried,38,34748,797,34631771,Stable,41299409,Rejected
Axis,Professional,46,50785,686,785595,Unstable,47320274,Approved
Axis,Professional,51,62822,932,17397757,Stable,27199633,Approved
Axis,Salaried,57,60377,862,17107985,Stable,24289102,Approved
Axis,Salaried,42,35812,738,36464130,Unstable,48959158,Rejected
Axis,Professional,42,32882,800,34269972,Stable,45557026,Rejected
Axis,Self-Employed,45,51074,665,726100,Stable,43723703,Approved
Axis,Salaried,47,82236,629,5023155,Unstable,8427068,Rejected
Axis,Professional,53,82215,695,5769261,Stable,8165302,Rejected
Axis,Salaried,56,39143,693,18394944,Stable,28020980,Approved
Axis,Professional,21,55816,664,6187285,Stable,33891244,Rejected
Axis,Professional,40,39596,721,37854548,Unstable,48832984,Rejected
Axis,Self-Employed,43,34886,852,36066090,Unstable,48042576,Rejected
Axis,Professional,46,93859,698,5036842,Unstable,7468550,Rejected
Axis,Self-Employed,53,62389,787,17484897,Stable,24569371,Approved
Axis,Salaried,40,36454,824,40261317,Stable,46496145,Rejected
Axis,Salaried,19,49664,656,6467756,Stable,32833515,Rejected
Axis,Self-Employed,49,96792,598,5198996,Unstable,8308819,Rejected
Axis,Professional,51,59833,836,16259191,Stable,27032613,Approved
Axis,Professional,53,40406,765,20148463,Unstable,27929695,Approved
Axis,Professional,38,33222,815,40530958,Unstable,50085150,Rejected
Axis,Professional,19,48067,619,6305820,Unstable,31155406,Rejected
Axis,Salaried,43,46760,672,737193,Unstable,43373010,Approved
Axis,Salaried,52,90629,619,5085511,Stable,7265061,Rejected
Axis,Professional,59,36185,741,18812768,Unstable,27710932,Approved
Axis,Salaried,46,50363,674,729774,Unstable,41613265,Approved
Axis,Self-Employed,48,45715,652,764675,Unstable,46952312,Approved
Axis,Salaried,51,61084,899,16807255,Unstable,24298312,Approved
Axis,Self-Employed,49,49981,733,695125,Unstable,46037214,Approved
Axis,Professional,42,39157,817,37600153,Unstable,48697559,Rejected
Axis,Self-Employed,54,42372,821,19089746,Unstable,24018936,Approved
Axis,Self-Employed,55,43176,780,16875243,Stable,27121219,Approved
Axis,Professional,61,63723,768,16044620,Unstable,26060630,Approved
Axis,Salaried,43,46687,649,772352,Unstable,45033191,Approved
Axis,Self-Employed,46,87629,661,5411323,Stable,6933983,Rejected
Axis,Professional,46,84272,685,5718128,Stable,6990152,Rejected
Axis,Salaried,45,47561,633,669866,Unstable,42928959,Approved
Axis,Salaried,50,46625,667,769930,Unstable,47058353,Approved
Axis,Salaried,20,54689,601,7221926,Unstable,32291660,Rejected
Axis,Salaried,49,50358,756,767756,Stable,42456339,Approved
Axis,Self-Employed,20,49497,730,6801463,Unstable,35302350,Rejected
Axis,Professional,50,42405,689,732441,Unstable,43458319,Approved
Axis,Salaried,51,44044,642,786728,Unstable,41936665,Approved
Axis,Salaried,43,42826,729,699091,Unstable,47725724,Approved
Axis,Salaried,47,48722,673,766092,Unstable,41418115,Approved
Axis,Salaried,39,33141,769,34936624,Stable,43680328,Rejected
Axis,Self-Employed,37,38401,735,41665473,Stable,42057384,Rejected
Axis,Self-Employed,43,45181,687,687282,Stable,42003348,Approved
Axis,Self-Employed,19,53079,621,6717963,Unstable,35487334,Rejected
Axis,Salaried,40,35001,779,38638784,Stable,48220714,Rejected
Axis,Salaried,51,93355,660,4869947,Unstable,7873379,Rejected
Axis,Professional,59,42534,798,19532989,Unstable,26764446,Approved
Axis,Professional,57,65140,786,18487827,Stable,28097348,Approved
Axis,Salaried,20,53103,650,6869207,Unstable,31482827,Rejected
Axis,Salaried,59,61147,807,15632256,Unstable,25689487,Approved
Axis,Salaried,53,66113,923,15544163,Stable,28663887,Approved
Axis,Professional,42,42603,746,781448,Stable,46234398,Approved
Axis,Salaried,56,36206,820,16859168,Stable,23968795,Approved
Axis,Professional,51,45564,736,741698,Unstable,44941348,Approved
Axis,Salaried,47,45877,744,676145,Stable,39585087,Approved
Axis,Salaried,43,38833,765,38574265,Stable,49106907,Rejected
Axis,Self-Employed,48,50496,742,770868,Unstable,42302050,Approved
Axis,Professional,55,88463,711,5458023,Stable,7559953,Rejected
Axis,Self-Employed,46,86236,617,5596150,Stable,8031317,Rejected
Axis,Professional,18,47877,614,6767687,Stable,31820152,Rejected
Axis,Salaried,47,47321,718,759705,Unstable,43994707,Approved
Axis,Professional,49,43915,624,757913,Stable,46909403,Approved
Axis,Salaried,42,35476,865,35382021,Stable,43574624,Rejected
Axis,Self-Employed,47,94264,681,4902352,Unstable,7580192,Rejected
Axis,Salaried,37,34686,818,40866286,Unstable,43862509,Rejected
Axis,Self-Employed,59,64132,910,18402387,Stable,28950550,Approved
Axis,Salaried,21,50283,716,6396897,Stable,33553302,Rejected
Axis,Self-Employed,50,45863,753,697417,Stable,41278515,Approved
Axis,Salaried,48,90127,674,5262160,Stable,7093772,Rejected
Axis,Professional,54,97146,677,5149609,Stable,7920742,Rejected
